Index Category Description
475 Business "Capitalism And Freedom helps you understand some of the most important factors protecting your liberty by outlining the government’s role in economics and how things go best when political entities are small and stay out of the flow of money in a country."
179 "Personal Development" "Antifragile reveals how some systems thrive from shocks, volatility and uncertainty, instead of breaking from them, and how you can adapt more antifragile traits yourself to thrive in an uncertain and chaotic world."
128 Other "Winners Take All helps you see the ultra-rich in a more accurate light by identifying their shady strategies, including using the idea of “making the world a better place” as a front that only serves as a way to solidify their wealth and power."
241 "Personal Development" "Find Your Why is an actionable guide to discover your mission in life, figure out how you can live it on a daily basis and share it with the world."
382 "Personal Development" "Finite and Infinite Games offers the theory that we play many different games in life, showing you that work and relationships are long-term endeavors and how to play them in order to win."
291 "Personal Development" "The Yes Brain offers parenting techniques that will give your kids an open attitude towards life, balance, resilience, insight, and empathy."
82 Business "Time And How To Spend It is your guide to becoming more productive by not focusing on working extra hours but instead using the time off more effectively."
384 "Personal Development" " 10 Days To Faster Reading helps you bring your reading skills to the current century, even if you've stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better."
263 "Personal Development" "A Curious Mind is an homage to the power of asking questions, showing you how being curious can change your entire life, from the way you do business, to how you interact with your loved ones, or even shape your country."
425 Business "Will It Fly is a step-by-step guide to testing your business idea, making sure your new venture matches who you are, and not wasting time or money on something people won't want, so your business won't just run, but fly."
202 "Personal Development" "Ego Friendly brings a twist to the mainstream spiritual narrative by showing you how to befriend your ego and treat it as your ally, instead of “letting go of it.”"
371 Business "Cashvertising teaches you how to become an expert at marketing by using techniques like using the power of authority, following the three steps of writing a perfect headline, and appealing to the eight basic desires people have instead of spending millions on ads."
266 "Personal Development" "Braving The Wilderness offers a four-step process to find true belonging through authenticity, bravery, trust, and vulnerability since it’s mostly about learning to stand alone rather than trying to fit in."
297 History "Amusing Ourselves To Death takes you through the history of media to highlight how entertainment’s standing in society has risen to the point where our addiction to it undermines our independent thinking."
282 "Personal Development" "59 Seconds shows you several self-improvement hacks, grounded in the science of psychology, which you can use to improve your mindset, happiness and life in less than a minute."
249 Business "When To Rob A Bank is a collection of the best of the Freakonomics authors’ blog posts from over 10 years of blogging about economics in all areas of our life."
412 "Personal Development" "As A Man Thinketh is an essay and self-help classic, which argues that the key to mastering your life is harnessing the power of your thoughts and helps you cultivate the philosophy and attitude of a positive, successful person."
276 Business "Dotcom Secrets is a hands-on guide to digital marketing and growing online businesses by harnessing the power of the internet and the new face of marketing through sales funnels and many other digital products well-explained by Russell Brunson, the multimillionaire who founded ClickFunnels."
361 "Personal Development" "Be A Free Range Human inspires you to finally quit that 9-5 job that is sucking the life out of you and begin working for yourself by explaining why the “job security” Doesn't exist anymore, helping you discover your passions, and identifying the steps you need to follow if you want to start a life of freedom and happiness."
63 Business "The Thank You Economy announces the return of small town courtesy to the world of business, thanks to social media, and shows you why business must not neglect nurturing its one-on-one relationships with customers through the new channels online, to thrive in the modern world."
22 "Personal Development" "Willpower Doesn't Work shows you how to change your life in a more efficient way than relying on sheer grit alone by identifying the importance of your environment and other factors that affect your productivity so you can become your best self."
233 "Personal Development" "A More Beautiful Question will teach you how to ask more and better questions, showing you the power that the right questions have to transform your life for the better."
244 Business "Duct Tape Marketing introduces small businesses to the nuts and bolts of marketing in the 21st century by taking them all the way from character profiles and strategy through specific marketing tactics to building a great referral system."
498 "Personal Development" "Bullshit Jobs asserts that roughly two out of every five people are stuck in work that is bereft of purpose, and these workers could suffer psychological damage as a result."
455 "Personal Development" "Feral will help you find ways to improve the well-being of humanity by illustrating the deep connection between us and Nature and offering actionable advice on how to preserve balance in our ecosystems through rewilding."
232 "Personal Development" "Collaborative Intelligence helps you enhance your unique thinking traits and develop an individualized form of intelligence based on what works best for you, what your strengths are, and how you communicate with others."
391 Business "Dare To Lead dispels common myths about modern-day workplace culture and shows you that true leadership requires nothing but vulnerability, values, trust, and resilience."
461 "Personal Development" "Think Like A Freak teaches you how to reject conventional wisdom as often as possible, ask the right questions about everything and come up with your own, statistically validated answers, instead of relying on other people's’ opinions or common sense."
369 Business "Brainfluence will help you get more sales by revealing people’s subconscious thinking and their motivations in the decision-making process they use when buying."
313 History "Enlightenment Now describes how the values of the Enlightenment, science, reason, humanism, and progress, keep improving our world until today, making it a better place day by day, despite the negative news."
212 "Personal Development" "What Got You Here won't Get You There helps you overcome your personality traits and behaviors that stop you from achieving even more success. "
42 Business "Disrupt Yourself explains how you can harness the ever-accelerating power of disruptive innovation in your personal life, be it to advance your career or to build a company that thrives, by embracing your limitations, focusing on your strengths and staying flexible and curious along the way."
353 History "All In talks about the life of Billie Jean King, a remarkable woman and tennis player who fought for gender equality in sports and managed to change the US legislature in this regard by never giving up on her vision, which is to ensure a no discrimination zone in sports for young women."
223 "Personal Development" "Letting Go of Nothing offers a simple, two-step practice for making peace with any situation and thus finding inner calm and happiness, explaining mindfulness in a way that is relatable, concise, and unpretentious."
174 "Personal Development" "A Guide To The Good Life is a roadmap for aspiring Stoics, revealing why this ancient philosophy is useful today, what Stoicism is truly about, and showing you how to cultivate its powerful principles in your own life."
194 "Physical Health" "Come As You Are is an explanation of the truth about female sexuality, including the hidden science of what turns women on, why it works, how to utilize this knowledge to improve your sex life, and why sexual myths make you feel inadequate in bed."
250 Other "Boys & Sex shares the best insights that Peggy Orenstein had after two years of asking young men about their sex lives, including why stereotypes make life harder for them, how hookup culture is destroying relationships, and what we as a society can do to help these boys have better, healthier views about and experiences with sex."
306 Business "First, Break All The Rules claims that everything you think you know about managing people is wrong, revealing how you can challenge the status quo so that both you and those you lead will achieve their full potential."
295 "Personal Development" "What to Say When You Talk to Yourself is a book by Shad Helmstetter, a self-help guru who has written several pieces on the subject of self-talk, and who argues that in order to achieve our highest self we need to work on how we talk to ourselves and identify our biggest challenge to conquer."
237 "Personal Development" "What I Know For Sure encourages you to create the life you want by pursuing excellence, practicing gratitude, and leveraging bad experiences to become stronger."
329 "Personal Development" "The Willpower Instinct breaks down willpower into 3 categories, and gives you science-backed systems to improve your self-control, break bad habits and choose long-term goals over instant gratification."
497 History "Win or Learn explores the philosophy of life and the secrets behind peak performance in MMA of John Kavanagh, the trainer and friend of superstar Conor McGregor, and their journey to success which started in a modest gym in Ireland and ended up with McGregor having a net worth of 100 million dollars."
247 Business "Adaptive Markets gives you a better understanding of how the movement of money in the world works by outlining the characteristics of the market, some of which are more like living creatures than you might think."
99 "Personal Development" "Why We Love delivers a scientific explanation for love, shows you how it developed historically and evolutionarily, tells you what we're all attracted to and where we differ, and of course gives you actionable advice to deal with both the exciting, successful romance in your life, as well as its sometimes inevitable fallout."
409 "Personal Development" "The Upside Of Stress helps you change your mindset from one that avoids anxiety at all costs to a belief that embraces stress as a normal part of life, which helps you respond to it in better ways and actually be healthier."
45 Business "Company Of One will teach you how going small, not big when creating your own company will bring you independence, income, and lots of free time without the hassles of having to manage employees, long meetings, and forced growth."
312 History "Wonderland shows you that much of societal and technological progress actually originates from people playing and just following their curiosity, as it takes you on a tour of history’s greatest dabblers and how they helped build the future."
495 History "The Warmth Of Other Suns is the story of how and why millions of Black Americans left the South between 1915 and 1970 to escape the brutality of the Jim Crow Laws and find safety, better pay, and more freedom in what is known today as The Great Migration."
242 "Personal Development" "This Is Your Mind On Plants is an analysis of three conscious-altering substances — opium, caffeine and mescaline — which humans have been using for thousands of years, as well as how their effects have shaped our bodies, culture, and history, showing that, beyond arguing about their legalities, we must understand their potential to help us connect with both nature and ourselves in new ways."
138 "Personal Development" "Bird By Bird is Ann Lamott’s guide to using the power of routine, being yourself, rolling with the punches, and many other principles to become a better writer."
370 "Physical Health" "First Bite explains how you've acquired your eating habits in your childhood and why they're not hardwired, as well as how you can change them for the better and teach your children to eat healthy."
17 Business "Things A Little Bird Told Me is Twitter co-founder Biz Stone’s look back at the years of his life during and before Twitter, from which he draws many lessons about business, life and society."
280 "Personal Development" "Unlimited Power is a self-help classic, which breaks down how Tony Robbins has helped top performers achieve at their highest level and how you can use the same mental and physical tactics to accomplish your biggest goals in life."
234 "Personal Development" "Battle Hymn Of The Tiger Mother opens your eyes to the potential benefits of tough love by sharing the traditionally Chinese parenting style and experiences of Amy Chua."
316 Other "Empire Of Illusion motivates you to watch less TV and get better at reading by outlining the sharp drop in literacy levels in the United States in recent years, the negative effects that have followed, and the dark future ahead if we continue on this path."
70 Business "The Start-Up of You explains why you need manage your career as if you were running a start-up to get ahead in today’s ultra-competitive and ever-changing business world."
1 "Personal Development" "Born To Win explores how planning and preparation is the only way to win in life and shows you how to use these tools in combination with a vision, goals, and thinking positively to become a winner in all aspects of life."
358 "Personal Development" "The Social Animal weaves social science research into the story of a fictional couple to shed light on the decision-making power of our unconscious minds."
11 Business "Winning is Jack Welch’s manual to becoming an astonishing manager and leader, which gives you practical tools to manage the finances, strategy and, most importantly, the people of your company."
322 Business "Everyday Millionaires proves how anyone can become a millionaire if they have a solid actionable plan and the willingness to work hard by drawing conclusions from the largest study ever conducted on the lives of millionaires."
479 "Personal Development" "Who Not How will skyrocket your success, happiness, and fulfillment in all areas of your life by identifying why you're looking at your problems the wrong way and how simply seeking to get the right people to help you will make all the difference."
285 "Personal Development" "Everything I Know ditches all the rules and gives you a guide to living a fulfilled and adventurous life that can be infinitely updated, stretched, expanded and customized, based on who you are, instead of another “do-this-to-get-rich-fast” scheme that Doesn't work for everyone."
158 "Personal Development" "The Upside Of Irrationality shows you the many ways in which you act irrational, while thinking what you're doing makes perfect sense, and how this irrational behavior can actually be beneficial, as long as you use it the right way."
331 "Personal Development" "Daily Rituals is a compilation of the best practices and habits of successful people from different fields aimed to help anyone increase productivity, get past writer’s block, and become more creative and efficient in their everyday work."
62 "Personal Development" "Chatter will help you make sense of the inner mind chatter that frequently takes over your mind, showing you how to quiet negative thoughts, stop overthinking, feel less anxious, and develop useful practices to constantly alleviate negative emotions."
245 History "Behind The Cloud tells the story of Salesforce.com, one of the biggest and earliest cloud computing, software-as-a-service companies in the world and how it went from small startup to billion-dollar status."
251 Other "Excellent Sheep describes how fundamentally broken elite education is, why it makes students feel depressed and lost, how educational institutions have been alienated from their true purpose, what students really must learn in college and how we can go back to making college a place for self-discovery and critical thinking."
261 History "Alexander The Great is one of the latest, most updated, and contemporary books on the life of the ancient, Macedonian king, who would extend his empire from a little slide of land in Greece through Persia, Egypt, all the way to India, forming the greatest empire the ancient world had ever seen."
154 "Personal Development" "Be Obsessed Or Be Average motivates you to get your heart into your work and live up to your true potential by identifying the thinking patterns and work habits of the passionate, successful, and driven Grant Cardone."
81 "Personal Development" "Brandwashed will help you make better buying decisions by identifying the psychological tools that marketers use to turn your own brain against you and make you think that you need to buy their products."
41 Business "Explaining why they're the future of business and showing you that you too, can be a leader."
69 History "Buddha’s Brain explains how world-changing thought leaders like Moses, Mohammed, Jesus, Gandhi and the Buddha altered their brains with the power of their minds and how you can use the latest findings of neuroscience to do the same and become a more positive, resilient, mindful and happy person."
374 "Personal Development" "Emotional Intelligence 2.0 explains what Emotional Intelligence is and how you can use it to build fantastic relationships in your personal life and career by utilizing the powers of self-awareness, self-management, social awareness, and relationship management."
103 Business "Extraordinary Influence helps you become a better leader by revealing what neuroscience has to say about effective leadership, identifying communication as the key to the highest levels of performance."
466 "Personal Development" "When Breath Becomes Air helps you see what’s really important by diving into Paul Kalanithi’s life of loving neuroscience, literature, meaning, and his family that ended from cancer in his mid-thirties."
347 "Personal Development" "Creative Confidence helps break the mundanity of everyday work and life by exploring the power that being more innovative has to improve happiness and success in many different areas."
292 Business "Dollars And Sense explains why it’s so hard to manage money and teaches you how to combat false cues and natural desires so you can manage your dollars in better ways."
472 History "Energy makes you smarter by helping you understand where this important aspect of our lives comes from, how we've used it throughout history to get to where we are today, and why we need to be careful about how we consume it so that we can have a better future."
447 "Personal Development" "Big Magic is the book that'll give you the courage you need to pursue your creative interests by showing you how to deal with your fears, notice ideas and act on them and take the stress out of creation."
18 History "Common Sense is a classic piece of US history that will help you see the importance of societies coming together to form a fair governmental system and how these ideas paved the way for the American revolution."
341 Business "What Color Is Your Parachute is a classic for job seekers, equipping you with the tools, tips and strategies you need to quickly find the right gig in today’s fast-moving market."
267 Business "Traction is a roadmap for startups to achieve the exponential growth necessary to survive the first few months and years by looking at 19 ways to get traction and a framework to help you pick the best one for your startup."
207 Business "Woke, Inc. taps into the dark secrets of the woke culture in corporate America, which organizations generate tremendous amounts of profit by hiding behind causes like social justice, gender equality, climate change, and many other popular matters."
236 Business "Alibaba shares the inspiring story of Jack Ma’s hard work, entrepreneurial vision, and smart thinking that helped him build one of the most successful and influential companies in the world."
12 "Physical Health" "When The Body Says No will help you become healthier by teaching you the truth behind the mind-body connection, revealing how your mental state does in fact affect your physical condition and how you can improve both."
452 History "A Splendid Exchange outlines the history of global trade, revealing its older than we think, has enabled the progress of civilization, and continues to change the world on a daily basis."
301 "Personal Development" "Automate Your Busy Work is a step-by-step guide to getting rid of your most dreaded tasks, fueled by the simple but sophisticated “Automation Flywheel,” which will help you reduce stress, get more done, and find time for your most meaningful work."
147 Business "Unshakeable distills the essence of world class investors down into four core principles you should follow while investing, giving you simple rules and actionable steps to follow to make sure your finances flourish."
416 "Personal Development" " 10% Happier gives skeptics an easy “in” to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life."
417 History "A People’s History Of The United States will help you improve the world by giving you a better understanding of the true, sometimes shameful, story of this America’s rise to power."
137 "Personal Development" "Finish identifies perfectionism as the biggest enemy of your goals, in order to then help you defeat it with research backed strategies to get things out the door while having fun, taking the pressure off and cutting yourself some slack."
89 History "Fire And Fury is a first-person account of Donald Trump’s presidential campaign in 2016, his unexpected victory, and subsequent first year in the White House as 45th president of the United States."
59 "Personal Development" "Beyond Order is the follow-up to Jordan Peterson’s bestselling book 12 Rules for Life and identifies another 12 rules to live by that help us live with and even embrace the chaos that we struggle with every day, identifying that too much order can be a problem just as much as too much disorder."
493 History "Untamed is an inspiring memoir of Glennon Doyle, a woman who found peace and inner strength by challenging life in all its areas, from love to parenting, personal growth, and work, after going through a powerful change that led her to discover crucial aspects about herself and allowed her to build a new life."
31 "Personal Development" "Enchantment is a personal exploration of the four elements and their power to reconnect us to the planet, other people, and ourselves as we re-emerge from a global health crisis feeling busier than ever before."
380 History "Cooked is a historical exploration of the four primary elements we use to transform our food, from fire to water, air, and earth, celebrating traditional cooking methods while showing you practical ways to improve your eating habits and prepare more of your own food."
39 "Personal Development" "Why We Work looks at the purpose of work in our lives by examining how different people view their work, what traits make work feel meaningful, and which questions companies should ask to maximize the motivation of their employees."
151 "Personal Development" "Factfulness explains how our worldview has been distorted with the rise of new media, which ten human instincts cause erroneous thinking, and how we can learn to separate fact from fiction when forming our opinions."
346 History "Breakfast With Socrates takes you through an ordinary day in the company of extraordinary minds, by linking each part of it to the core message of one of several great philosophers throughout history, such as Descartes, Nietzsche, Marx, and even Buddha."
120 Business "Broke Millennial shows those in their twenties and thirties how to manage their finances so that they can stop scraping by and instead begin to live more confidently when it comes to money."
64 History "The Snowball is the only authorized biography of Warren Buffett, the “Oracle of Omaha,” legendary value investor and once richest man on earth, detailing his life from the very humble beginnings all the way to his unfathomable success."
98 "Physical Health" "Body By Science offers a hands-on approach to fitness and what building a healthy, fit, and strong body implies, all while debunking common myths about training practices that served as a benchmark for gym enthusiasts since the rise of the sports industry."
426 Technology "A Mind For Numbers will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and processes information, even if these subjects Don't come naturally to you."
334 History "Drive explores what has motivated humans throughout history and explains how we shifted from mere survival to the carrot and stick approach that’s still practiced today – and why it’s outdated."
377 History "You Are Not A Gadget will help you get a better grasp on how much the internet undervalues your individuality by explaining the history of the digital world, the worrying path that it has put us on, and how we might make changes as a society to fix these problems."
368 Business "Blue Ocean Strategy talks about a new type of business strategy that Doesn't necessarily rely on gaining a competitive advantage over your rivals, but on innovating your way out of the current market to create your own ocean of opportunities."
50 "Personal Development" "Failing Forward will help you stop making excuses, start embracing failure as a natural, necessary part of the process and let you find the confidence to proceed anyway."
383 Business "What They Don't Teach You At Harvard Business School teaches why succeeding in business has less to do with accumulated theoretical knowledge through schooling and books, and more about people and communication."
459 "Personal Development" "Unbeatable Mind explores the idea that everyone has a higher self-potential lying underneath that they ought to explore and tap into in order to live their life to the fullest and maximize their happiness and success, all possible through the 20X rule."
176 History "Catch Me If You Can is the story of how Frank Abagnale, one of the most famous con-artists in history, faked over eight identities, several professions, and cashed over $2.5 million of forged checks in the 1960s, until the police finally caught him at age 21."
309 "Personal Development" "Bittersweet explains where emotions like sorrow, longing, and sadness come from and what their purpose in our lives is, as well as helping us deal with grief, loss, and our own mortality."
8 "Personal Development" "Why Has Nobody Told Me This Before? is a collection of a clinical psychologist’s best practical advice to combat anxiety and depression and improve our mental health in small increments, collected from over a decade of 1-on-1 work with patients."
304 "Personal Development" "The Upside Of Your Dark Side takes a look at our darkest emotions, like anxiety or anger, and shows you there are real benefits that follow them and their underlying character traits, such as narcissism or psychopathy."
294 "Personal Development" "Why We Sleep will motivate you get more and better quality sleep by showing you the recent scientific findings on why sleep deprivation is bad for individuals and society."
75 Other "Bad Feminist will show you a new way of looking at equality by revealing some not so common ideas about race, gender, and feminism in the United States."
44 "Personal Development" "Difficult Conversations identifies why we shy away from some conversations more than others, and what we can do to navigate them successfully and without stress."
